Geracao,Melhor_Fitness,X,Y,Media
0,0.0706457906491317,1.0725274725274725,0.883028083028083,5.613999082232678
1,0.07040744085407627,1.0725274725274725,0.884004884004884,2.1733970984295796
2,0.06144731397266545,1.0725274725274725,0.9299145299145299,1.0351853707383245
3,0.014784658071015252,1.01001221001221,0.883028083028083,0.776507283777413
4,0.013015985777397071,1.01001221001221,0.8908424908424908,0.2775492817064841
5,0.005620818702633425,1.008058608058608,0.9299145299145299,0.19104672044530696
6,0.005620818702633425,1.008058608058608,0.9299145299145299,0.2019921264099614
7,0.004912624156939992,1.0002442002442002,0.9299145299145299,0.24869055970212062
8,0.004912624156939992,1.0002442002442002,0.9299145299145299,0.1706568508530596
9,0.000763092602736718,1.008058608058608,0.9924297924297925,0.18266965814900546
10,5.7956271635701595e-05,1.0002442002442002,0.9924297924297925,0.1331066121459994
11,5.7956271635701595e-05,1.0002442002442002,0.9924297924297925,0.03741126302373191
12,4.4121231345581906e-05,1.0002442002442002,0.9934065934065934,0.2429061776754573
13,4.4121231345581906e-05,1.0002442002442002,0.9934065934065934,0.5254820934896057
14,3.2194472474194246e-05,1.0002442002442002,0.9943833943833944,0.09679921009024776
15,3.2194472474194246e-05,1.0002442002442002,0.9943833943833944,0.01793905921750713
16,3.2194472474194246e-05,1.0002442002442002,0.9943833943833944,0.09077421876981988
17,3.2194472474194246e-05,1.0002442002442002,0.9943833943833944,0.015096555564197861
18,3.2194472474194246e-05,1.0002442002442002,0.9943833943833944,0.02764772834638194
19,3.2194472474194246e-05,1.0002442002442002,0.9943833943833944,0.13076330281413112
20,3.5702511806165526e-06,1.0002442002442002,0.9982905982905983,0.2609015380733049
21,3.5702511806165526e-06,1.0002442002442002,0.9982905982905983,0.09880615703396217
22,3.5702511806165526e-06,1.0002442002442002,0.9982905982905983,0.029813129796130447
23,3.5702511806165526e-06,1.0002442002442002,0.9982905982905983,0.03579905960895242
24,3.5702511806165526e-06,1.0002442002442002,0.9982905982905983,0.001070974412140514
25,1.184899406008527e-06,1.0002442002442002,0.9992673992673993,0.09765739498663037
26,1.184899406008527e-06,1.0002442002442002,0.9992673992673993,0.03374968044185723
27,1.184899406008527e-06,1.0002442002442002,0.9992673992673993,0.341225162580011
28,1.184899406008527e-06,1.0002442002442002,0.9992673992673993,0.15704193868580452
29,1.184899406008527e-06,1.0002442002442002,0.9992673992673993,0.005966278350632361
30,1.184899406008527e-06,1.0002442002442002,0.9992673992673993,0.13623161866577874
31,1.184899406008527e-06,1.0002442002442002,0.9992673992673993,0.22827904002679617
32,1.184899406008527e-06,1.0002442002442002,0.9992673992673993,0.0031171039015009485
33,1.184899406008527e-06,1.0002442002442002,0.9992673992673993,0.13251682190344333
34,1.184899406008527e-06,1.0002442002442002,0.9992673992673993,0.1801409138047868
35,1.184899406008527e-06,1.0002442002442002,0.9992673992673993,0.05151548926264246
36,1.184899406008527e-06,1.0002442002442002,0.9992673992673993,0.004432216070702464
37,1.184899406008527e-06,1.0002442002442002,0.9992673992673993,0.3374802535982643
38,1.184899406008527e-06,1.0002442002442002,0.9992673992673993,0.14895931415100977
39,1.184899406008527e-06,1.0002442002442002,0.9992673992673993,0.2860659024772748
40,1.184899406008527e-06,1.0002442002442002,0.9992673992673993,0.09573326996452183
41,1.184899406008527e-06,1.0002442002442002,0.9992673992673993,0.06555129109013962
42,1.184899406008527e-06,1.0002442002442002,0.9992673992673993,0.12008760872960188
43,1.184899406008527e-06,1.0002442002442002,0.9992673992673993,0.15485781648196104
44,1.184899406008527e-06,1.0002442002442002,0.9992673992673993,0.22905008784616127
45,1.184899406008527e-06,1.0002442002442002,0.9992673992673993,0.11412836239775188
46,1.184899406008527e-06,1.0002442002442002,0.9992673992673993,0.07620845525832433
47,1.184899406008527e-06,1.0002442002442002,0.9992673992673993,0.12664021438839165
48,1.184899406008527e-06,1.0002442002442002,0.9992673992673993,0.1938114449161974
49,1.184899406008527e-06,1.0002442002442002,0.9992673992673993,0.10131945776452742
